Code;Nom_commune;Code_postal;Zonage dentistes
01457;VONNAS;01540;1_Tres_sous_dotee
02001;ABBECOURT;02300;1_Tres_sous_dotee
02002;ACHERY;02800;1_Tres_sous_dotee
02003;ACY;02200;2_Sous_dotee
02004;AGNICOURT ET SECHELLES;02340;1_Tres_sous_dotee
02005;AGUILCOURT;02190;3_intermediaire
02006;AISONVILLE ET BERNOVILLE;02110;1_Tres_sous_dotee
02007;AIZELLES;02820;3_intermediaire
02008;AIZY JOUY;02370;2_Sous_dotee
02008;AIZY JOUY;02370;2_Sous_dotee
02009;ALAINCOURT;02240;1_Tres_sous_dotee
02010;ALLEMANT;02320;1_Tres_sous_dotee
02011;AMBLENY;02290;1_Tres_sous_dotee
02012;AMBRIEF;02200;2_Sous_dotee
02013;AMIFONTAINE;02190;3_intermediaire
02014;AMIGNY ROUY;02700;1_Tres_sous_dotee
02015;ANCIENVILLE;02600;2_Sous_dotee
02016;ANDELAIN;02800;1_Tres_sous_dotee
02017;ANGUILCOURT LE SART;02800;1_Tres_sous_dotee
02018;ANIZY LE GRAND;02320;1_Tres_sous_dotee
02018;ANIZY LE GRAND;02320;1_Tres_sous_dotee
02018;ANIZY LE GRAND;02320;1_Tres_sous_dotee
02019;ANNOIS;02480;1_Tres_sous_dotee
02020;ANY MARTIN RIEUX;02500;1_Tres_sous_dotee
02021;ARCHON;02360;1_Tres_sous_dotee
02022;ARCY STE RESTITUE;02130;1_Tres_sous_dotee
02022;ARCY STE RESTITUE;02130;1_Tres_sous_dotee
02023;ARMENTIERES SUR OURCQ;02210;1_Tres_sous_dotee
02024;ARRANCY;02860;1_Tres_sous_dotee
02025;ARTEMPS;02480;1_Tres_sous_dotee
02027;ASSIS SUR SERRE;02270;1_Tres_sous_dotee
02028;ATHIES SOUS LAON;02840;1_Tres_sous_dotee
02029;ATTILLY;02490;3_intermediaire
02030;AUBENCHEUL AUX BOIS;02420;1_Tres_sous_dotee
02031;AUBENTON;02500;1_Tres_sous_dotee
02032;AUBIGNY AUX KAISNES;02590;1_Tres_sous_dotee
02033;AUBIGNY EN LAONNOIS;02820;3_intermediaire
02034;AUDIGNICOURT;02300;1_Tres_sous_dotee
02035;AUDIGNY;02120;1_Tres_sous_dotee
02036;AUGY;02220;2_Sous_dotee
02037;AULNOIS SOUS LAON;02000;1_Tres_sous_dotee
02038;LES AUTELS;02360;1_Tres_sous_dotee
02039;AUTREMENCOURT;02250;1_Tres_sous_dotee
02040;AUTREPPES;02580;1_Tres_sous_dotee
02041;AUTREVILLE;02300;1_Tres_sous_dotee
02042;AZY SUR MARNE;02400;3_intermediaire
02043;BAGNEUX;02290;2_Sous_dotee
02044;BANCIGNY;02140;1_Tres_sous_dotee
02046;BARENTON BUGNY;02000;1_Tres_sous_dotee
02047;BARENTON CEL;02000;1_Tres_sous_dotee
02048;BARENTON SUR SERRE;02270;1_Tres_sous_dotee
